date;day_after_release;marked_dead-cum;marked_dead;marked_alive;unmarked_dead-cum;unmarked_dead;unmarked_alive;Release;Tmedia
15/09/2009;0;0;0;50;0;0;48;3;23.6
16/09/2009;1;0;0;50;0;0;48;3;22.3
17/09/2009;2;0;0;50;0;0;48;3;24.1
18/09/2009;3;0;0;50;0;0;48;3;24.8
19/09/2009;4;0;0;50;0;0;48;3;25.4
20/09/2009;5;0;0;50;0;0;48;3;26
21/09/2009;6;0;0;50;0;0;48;3;25.8
22/09/2009;7;0;0;50;0;0;48;3;23.9
23/09/2009;8;2;2;48;1;1;47;3;24.3
24/09/2009;9;3;1;47;3;2;45;3;25.4
25/09/2009;10;5;2;45;4;1;44;3;25
26/09/2009;11;5;0;45;4;0;44;3;24
27/09/2009;12;5;0;45;4;0;44;3;24
28/09/2009;13;6;1;44;6;2;42;3;23.9
29/09/2009;14;8;2;42;6;0;42;3;24.9
30/09/2009;15;8;0;42;8;2;40;3;26.7
01/10/2009;16;8;0;42;9;1;39;3;27.2
24/08/2009;0;0;0;43;0;0;48;2;25.4
25/08/2009;1;0;0;43;0;0;48;2;21.7
26/08/2009;2;1;1;42;0;0;48;2;21.4
27/08/2009;3;2;1;41;0;0;48;2;22.3
28/08/2009;4;3;1;40;1;1;47;2;23.8
29/08/2009;5;3;0;40;2;1;46;2;25.4
30/08/2009;6;3;0;40;3;1;45;2;26.3
31/08/2009;7;5;2;38;4;1;44;2;21.3
01/09/2009;8;6;1;37;5;1;43;2;19.2
02/09/2009;9;6;0;37;8;3;40;2;19.5
03/09/2009;10;6;0;37;9;1;39;2;20.6
04/09/2009;11;6;0;37;9;0;39;2;20.9
05/09/2009;12;6;0;37;11;2;37;2;18.2
06/09/2009;13;8;2;35;11;0;37;2;17.7
07/09/2009;14;10;2;33;13;2;35;2;20.4
08/09/2009;15;11;1;32;14;1;34;2;20.8
09/09/2009;16;12;1;31;16;2;32;2;21.1
03/08/2009;0;0;0;52;0;0;49;1;21.2
04/08/2009;1;0;0;52;0;0;49;1;21.4
05/08/2009;2;0;0;52;0;0;49;1;21.1
06/08/2009;3;1;1;51;1;1;48;1;20.5
07/08/2009;4;2;1;50;1;0;48;1;20.3
08/08/2009;5;5;3;47;5;4;44;1;20.8
09/08/2009;6;5;0;47;7;2;42;1;20.4
10/08/2009;7;8;3;44;8;1;41;1;19.5
11/08/2009;8;8;0;44;9;1;40;1;19.3
12/08/2009;9;9;1;43;9;0;40;1;19.3
13/08/2009;10;9;0;43;10;1;39;1;19.7
14/08/2009;11;9;0;43;10;0;39;1;20
