ST;lat;lon
RP;45.305944;12.03031
1;45.305944;12.03031
2;45.30561;12.031084
3;45.304808;12.03037
4;45.304209;12.031634
5;45.305872;12.029238
6;45.304535;12.028211
7;45.304215;12.030058
8;45.304234;12.029161
9;45.305088;12.03286
10;45.305916;12.032516
11;45.305767;12.0339
12;45.303796;12.032423
13;45.303834;12.033214
14;45.304749;12.03471
15;45.304063;12.034969
16;45.306783;12.029293
17;45.308501;12.030784
18;45.306397;12.027919
19;45.304589;12.025768
20;45.306919;12.030776
21;45.306622;12.033189
22;45.307136;12.031665
23;45.307799;12.031796
24;45.305477;12.028762
25;45.305407;12.028005
26;45.305907;12.02756
27;45.307155;12.028534
28;45.307965;12.029233
29;45.306483;12.03181
30;45.306563;12.030636
31;45.306085;12.034438
32;45.305143;12.034399
33;45.304042;12.032329
34;45.306578;12.034387
35;45.307172;12.033357
36;45.308348;12.032313
37;45.302898;12.030525
38;45.303258;12.02885
39;45.303912;12.02851
40;45.304472;12.030815
41;45.305183;12.02638
42;45.304408;12.027703
43;45.303822;12.027359
44;45.306125;12.026668
45;45.306688;12.026177
46;45.306635;12.026939
47;45.307699;12.027124
48;45.307652;12.027567
49;45.306119;12.035273
50;45.30757;12.034592
51;45.307827;12.033595
52;45.308898;12.032722
53;45.309416;12.030748
54;45.30983;12.029946
55;45.307709;12.029056
56;45.308158;12.028906
57;45.308851;12.029428
58;45.308901;12.028632
59;45.30808;12.0266
60;45.307021;12.025741
61;45.305756;12.025621
62;45.304274;12.026355
63;45.303068;12.0278
64;45.302951;12.032196
65;45.303549;12.033841
66;45.308324;12.025937
67;45.308453;12.025411
68;45.309238;12.026168
69;45.309074;12.026979
70;45.307227;12.025147
71;45.307471;12.024521
72;45.305948;12.024842
73;45.304553;12.024472
74;45.303803;12.025207
75;45.303613;12.025942
76;45.30217;12.027546
77;45.302306;12.028679
78;45.301937;12.028513
79;45.302134;12.029969
80;45.301707;12.031102
81;45.302678;12.031326
82;45.301805;12.032204
83;45.302406;12.032147
84;45.303602;12.034535
85;45.303461;12.035342
86;45.303893;12.035861
87;45.304997;12.035514
88;45.305138;12.03634
89;45.306464;12.03567
90;45.305752;12.036249
91;45.30721;12.036275
92;45.307042;12.035456
93;45.308502;12.034312
94;45.309923;12.032089
97;45.310175;12.028773
98;45.304821;12.025214
